id_hecho,n_victimas,fecha,franja_hora,tipo_calle,comuna,pos_x,pos_y,participantes,acusado,gravedad,rol,vehiculo_victima,sexo_victima,edad_victima
2018-0003,1,2018-01-05,10,avenida,15.0,-58.44860217,-34.60395657,multiple,multiple,fatal,peatón,peatón,femenino,58
2018-0004,1,2018-01-09,9,avenida,13.0,-58.46129513,-34.54332766,multiple,multiple,fatal,conductor,moto,masculino,39
2018-0005,1,2018-01-09,22,avenida,1.0,-58.36907201,-34.61953517,peaton-pasajeros,pasajeros,fatal,peatón,peatón,masculino,54
2018-0006,1,2018-01-10,21,calle,6.0,-58.44062219,-34.62499107,bicicleta-pasajeros,pasajeros,fatal,ciclista,bicicleta,femenino,45
2018-0007,1,2018-01-11,2,autopista,9.0,-58.52502765,-34.63601265,auto-auto,auto,fatal,conductor,auto,masculino,46
2018-0008,1,2018-01-12,17,avenida,1.0,-58.36659655,-34.61687778,moto-cargas,cargas,fatal,conductor,moto,femenino,32
2018-0009,1,2018-01-14,2,avenida,4.0,-58.36737389,-34.62763661,moto-moto,moto,fatal,conductor,moto,masculino,19
2018-0010,1,2018-01-18,5,calle,10.0,-58.49807953,-34.63038658,moto-cargas,cargas,fatal,conductor,moto,masculino,40
2018-0011,1,2018-01-19,10,avenida,2.0,-58.39092703,-34.59088447,peaton-pasajeros,pasajeros,fatal,peatón,peatón,masculino,84
2018-0012,1,2018-01-26,13,calle,8.0,-58.46912006,-34.68049201,moto-pasajeros,pasajeros,fatal,conductor,moto,masculino,20
2018-0013,1,2018-01-28,8,avenida,12.0,-58.48661286,-34.56786129,moto-auto,auto,fatal,conductor,moto,masculino,44
2018-0014,1,2018-01-31,20,avenida,7.0,-58.44074927,-34.65080597,peaton-moto,moto,fatal,peatón,peatón,masculino,
2018-0015,2,2018-02-06,1,avenida,4.0,-58.38636298,-34.64684275,moto-pasajeros,pasajeros,fatal,conductor,moto,masculino,28
2018-0015,2,2018-02-06,1,avenida,4.0,-58.38636298,-34.64684275,moto-pasajeros,pasajeros,fatal,pasajero,moto,masculino,19
2018-0016,1,2018-02-15,10,avenida,1.0,-58.37533517,-34.59276462,moto-cargas,cargas,fatal,conductor,moto,masculino,31
2018-0017,1,2018-02-17,4,avenida,7.0,-58.46963952,-34.63070603,peaton-auto,auto,fatal,peatón,peatón,masculino,35
2018-0018,1,2018-02-17,7,calle,4.0,-58.37207554,-34.64543658,moto-cargas,cargas,fatal,conductor,moto,masculino,26
2018-0019,1,2018-02-17,12,avenida,2.0,-58.39189441,-34.59176378,peaton-pasajeros,pasajeros,fatal,peatón,peatón,femenino,80
2018-0020,1,2018-02-19,22,autopista,8.0,-58.45012957,-34.66518343,moto-cargas,cargas,fatal,conductor,moto,masculino,26
2018-0021,1,2018-02-22,10,avenida,4.0,-58.40184094,-34.64546845,peaton-pasajeros,pasajeros,fatal,peatón,peatón,femenino,62
2018-0022,1,2018-02-24,0,avenida,4.0,-58.37441153,-34.63966783,moto-cargas,cargas,fatal,conductor,moto,masculino,28
2018-0023,1,2018-02-24,6,calle,6.0,-58.44110156,-34.62082399,moto-auto,auto,fatal,conductor,moto,masculino,28
2018-0024,1,2018-02-28,23,avenida,15.0,-58.47087351,-34.57827342,peaton-cargas,cargas,fatal,peatón,peatón,masculino,70
2018-0025,1,2018-03-04,22,avenida,7.0,-58.4596221,-34.6224514,peaton-auto,auto,fatal,peatón,peatón,masculino,70
